"nid","Sequence","Judge.Name","Other.Nominations.Recess.Appointments"
1391826,2,"Cook, Deborah L.","Nominated to U.S. Court of Appeals for the Sixth Circuit, September 4, 2001; no Senate vote"
1394411,1,"Cooper, Christopher Reid","Nominated to U.S. District Court for the District of Columbia, August 1, 2013; no Senate vote"
1379491,1,"Cooper, Irving Ben","Nominated to U.S. District Court for the Southern District of New York, September 23, 1961; no Senate vote"
6770606,1,"Corker, Clifton Leland","Nominated to U.S. District Court for the Eastern District of Tennessee, November 13, 2018; no Senate vote"
11662361,1,"Corley, Jacqueline Scott","Nominated to U.S. District Court for the Northern District of California, November 3, 2021; no Senate vote"
1393961,1,"Costa, Gregg Jeffrey","Nominated to U.S. Court of Appeals for the Fifth Circuit, December 19, 2013; no Senate vote"
4028221,1,"Counts, Walter David III","Nominated to U.S. District Court for the Western District of Texas, March 15, 2016; no Senate vote"
1392421,1,"Cox, Sean Francis","Nominated to U.S. District Court for the Eastern District of Michigan, September 10, 2004; no Senate vote"
1379591,1,"Coxe, Alfred Conkling, Sr.","Nominated to be presiding judge of the U.S. Court of Customs Appeals (later U.S. Court of Customs and Patent Appeals), January 5, 1910; nomination withdrawn by president, February 22, 1910"
1394441,1,"Crabtree, Daniel Dale","Nominated to U.S. District Court for the District of Kansas, August 1, 2013; no Senate vote"
1390381,1,"Creighton, William, Jr.","Nominated to U.S. District Court for the District of Ohio, December 11, 1828; no Senate vote"
8695161,1,"Cronan, John Peter","Nominated to U.S. District Court for the Southern District of New York, December 2, 2019; no Senate vote"
1392251,1,"Crotty, Paul Austin","Nominated to U.S. District Court for the Southern District of New York, September 7, 2004; no Senate vote"
1379701,1,"Cushing, William","Nominated to be Chief Justice of the Supreme Court of the United States, January 26, 1796; confirmed, January 27, 1796; declined appointment"
1393661,1,"D'Agostino, Mae Avila","Nominated to U.S. District Court for the Northern District of New York, September 29, 2010; no Senate vote"
