"nid","Sequence","Judge.Name","School","Degree","Degree.Year"
13761857,1,"Abelson, Adam Ben","Princeton University","B.A.","2005"
13761857,2,"Abelson, Adam Ben","New York University School of Law","J.D.","2010"
1393931,1,"Abrams, Ronnie","Cornell University","B.A.","1990"
1393931,2,"Abrams, Ronnie","Yale Law School","J.D.","1993"
1376976,1,"Abruzzo, Matthew T.","Brooklyn Law School","LL.B.","1910"
13651551,1,"Abudu, Nancy Gbana","Columbia University","B.A.","1996"
13651551,2,"Abudu, Nancy Gbana","Tulane University Law School","J.D.","1999"
1376981,1,"Acheson, Marcus Wilson","Washington College (now Washington and Jefferson College)","B.A.","1845"
1376981,2,"Acheson, Marcus Wilson","Read law","","1852"
1376986,1,"Acker, William Marsh, Jr.","Birmingham-Southern College","B.A.","1949"
1376986,2,"Acker, William Marsh, Jr.","Yale Law School","LL.B.","1952"
1376991,1,"Ackerman, Harold Arnold","Rutgers School of Law -- Newark","LL.B.","1951"
1376996,1,"Ackerman, James Waldo","Marquette University","B.S.","1947"
1376996,2,"Ackerman, James Waldo","Marquette University Law School","J.D.","1949"
1377001,1,"Acosta, Raymond L.","Rutgers School of Law -- Newark","J.D.","1951"
1377006,1,"Adair, J[ackson] Leroy","University of Michigan Law School","LL.B.","1911"
1377011,1,"Adams, Arlin Marvin","Temple University","B.S.","1941"
1377011,2,"Adams, Arlin Marvin","University of Pennsylvania Law School (now Carey Law School)","LL.B.","1947"
1377011,3,"Adams, Arlin Marvin","Temple University","M.A.","1950"
1377016,1,"Adams, Elmer Bragg","Yale College","B.A.","1865"
1377016,2,"Adams, Elmer Bragg","Harvard Law School","","1868"
1377021,1,"Adams, George","Read law","","1810"
1377026,1,"Adams, George Bethune","Read law","","1878"
1377031,1,"Adams, Henry Lee, Jr.","Florida A&M University","B.S.","1966"
1377031,2,"Adams, Henry Lee, Jr.","Howard University School of Law","J.D.","1969"
1391781,1,"Adams, John R.","Bowling Green State University","B.S.","1978"
1391781,2,"Adams, John R.","University of Akron School of Law","J.D.","1983"
1393311,1,"Adamson, William Charles","Bowdon College, Georgia","A.B.","1874"
1390426,1,"Adelman, Lynn S.","Princeton University","A.B.","1961"
1390426,2,"Adelman, Lynn S.","Columbia Law School","LL.B.","1965"
1377036,1,"Adkins, Jesse Corcoran","Georgetown College Law School (now Georgetown University Law Center)","LL.B.","1899"
1377036,2,"Adkins, Jesse Corcoran","Georgetown College Law School (now Georgetown University Law Center)","LL.M.","1900"
1377041,1,"Adler, Simon Louis","Cornell University","B.L.","1889"
1377041,2,"Adler, Simon Louis","Harvard Law School","","1892"
9374881,1,"Aenlle-Rocha, Fernando Lazaro","Princeton University","A.B.","1983"
9374881,2,"Aenlle-Rocha, Fernando Lazaro","University of California, Berkeley, School of Law","J.D.","1986"
13761681,1,"Aframe, Seth Robert","Tufts University","B.A.","1996"
13761681,2,"Aframe, Seth Robert","Georgetown University Law Center","J.D.","1999"
1391471,1,"Africk, Lance M.","University of North Carolina","B.A.","1973"
1391471,2,"Africk, Lance M.","University of North Carolina School of Law","J.D.","1975"
1392706,1,"Agee, G. Steven","Bridgewater College","B.A.","1974"
1392706,2,"Agee, G. Steven","University of Virginia School of Law","J.D.","1977"
1392706,3,"Agee, G. Steven","New York University School of Law","LL.M.","1978"
1377046,1,"Aguilar, Robert Peter","University of California, Berkeley","B.A.","1954"
1377046,2,"Aguilar, Robert Peter","University of California, Berkeley, School of Law","J.D.","1958"
1390586,1,"Aiken, Ann L.","University of Oregon","B.S.","1974"
1390586,2,"Aiken, Ann L.","Rutgers University","M.A.","1976"
1390586,3,"Aiken, Ann L.","University of Oregon School of Law","J.D.","1979"
1377051,1,"Ainsworth, Robert Andrew, Jr.","Loyola University New Orleans School of Law","LL.B.","1932"
1377056,1,"Akerman, Alexander","Read law","","1892"
1377061,1,"Alaimo, Anthony A.","Ohio Northern University","B.A.","1940"
1377061,2,"Alaimo, Anthony A.","Emory University School of Law","J.D.","1948"
1377066,1,"Alarcón, Arthur Lawrence","University of Southern California","B.A.","1949"
1377066,2,"Alarcón, Arthur Lawrence","University of Southern California Law School (now Gould School of Law)","LL.B.","1951"
5198506,1,"Albright, Alan D","Trinity University, San Antonio, Texas","B.A.","1981"
5198506,2,"Albright, Alan D","University of Texas School of Law","J.D.","1984"
1377071,1,"Albritton, William Harold III","University of Alabama","B.A.","1959"
1377071,2,"Albritton, William Harold III","University of Alabama School of Law","LL.B.","1960"
1377076,1,"Aldisert, Ruggero John","University of Pittsburgh","B.A.","1941"
1377076,2,"Aldisert, Ruggero John","University of Pittsburgh School of Law","J.D.","1947"
1377081,1,"Aldrich, Ann","Columbia University","B.A.","1948"
1377081,2,"Aldrich, Ann","New York University School of Law","LL.B.","1950"
1377081,3,"Aldrich, Ann","University of Geneva, Switzerland, Institut des Hautes Etudes Internationale","","1951"
1377081,4,"Aldrich, Ann","New York University School of Law","LL.M.","1964"
1377081,5,"Aldrich, Ann","New York University School of Law","J.S.D.","1967"
1377086,1,"Aldrich, Bailey","Harvard University","A.B.","1928"
1377086,2,"Aldrich, Bailey","Harvard Law School","LL.B.","1932"
1377091,1,"Aldrich, Edgar","Read law","","1866"
1377091,2,"Aldrich, Edgar","University of Michigan Law School","LL.B.","1868"
1377096,1,"Alesia, James Henry","Loyola University Chicago","B.S.","1956"
1377096,2,"Alesia, James Henry","Chicago-Kent College of Law","J.D.","1960"
13761646,1,"Alexakis, Georgia Nick","Harvard University","A.B.","2000"
13761646,2,"Alexakis, Georgia Nick","Northwestern University School of Law (now Pritzker School of Law)","J.D.","2006"
13761895,1,"Ali, Amir Hatem Mahdy","University of Waterloo","B.S.E.","2008"
13761895,2,"Ali, Amir Hatem Mahdy","Harvard Law School","J.D.","2011"
13761396,1,"AliKhan, Loren Linn","Bard College at Simon’s Rock","A.A.","2001"
13761396,2,"AliKhan, Loren Linn","Bard College at Simon’s Rock","B.A.","2003"
13761396,3,"AliKhan, Loren Linn","Georgetown University Law Center","J.D.","2006"
1377101,1,"Alito, Samuel A., Jr.","Princeton University","A.B.","1972"
1377101,2,"Alito, Samuel A., Jr.","Yale Law School","J.D.","1975"
13761626,1,"Allen, Ann Marie McIff","Brigham Young University","B.A.","1994"
13761626,2,"Allen, Ann Marie McIff","Brigham Young University, J. Reuben Clark Law School","J.D.","1997"
1393701,1,"Allen, Arenda Lauretta Wright","Kutztown State College (now Kutztown University of Pennsylvania)","B.A.","1982"
1393701,2,"Allen, Arenda Lauretta Wright","North Carolina Central University School of Law","J.D.","1985"
1377106,1,"Allen, Charles Mengel","Yale University","B.A.","1941"
1377106,2,"Allen, Charles Mengel","University of Louisville School of Law (now Louis D. Brandeis School of Law)","LL.B.","1943"
1377111,1,"Allen, Florence Ellinwood","Western Reserve University (now Case Western Reserve University)","B.A.","1904"
1377111,2,"Allen, Florence Ellinwood","Western Reserve University (now Case Western Reserve University)","M.A.","1908"
1377111,3,"Allen, Florence Ellinwood","New York University School of Law","LL.B.","1913"
1377116,1,"Allen, William Joshua","University of Louisville Law Department (now Louis D. Brandeis School of Law)","LL.B.","1848"
1377121,1,"Alley, Wayne Edward","Stanford University","A.B.","1952"
1377121,2,"Alley, Wayne Edward","Stanford Law School","J.D.","1957"
1377126,1,"Allgood, Clarence W.","Alabama Polytechnic Institute (now Auburn University)","B.S.","1926"
1377126,2,"Allgood, Clarence W.","Birmingham School of Law","LL.B.","1941"
1377131,1,"Allred, James V.","Cumberland School of Law","LL.B.","1921"
13761346,1,"Almadani, Monica Ramirez","Harvard University","A.B.","2001"
13761346,2,"Almadani, Monica Ramirez","Stanford Law School","J.D.","2004"
1390376,1,"Almond, James Lindsay, Jr.","University of Virginia School of Law","LL.B.","1923"
1394711,1,"Alonso, Jorge Luis","University of Miami","B.A.","1988"
1394711,2,"Alonso, Jorge Luis","George Washington University Law School","J.D.","1991"
1377136,1,"Alschuler, Samuel","Read law","","1881"
1377141,1,"Alsop, Donald Douglas","University of Minnesota","B.S.L.","1950"
1377141,2,"Alsop, Donald Douglas","University of Minnesota Law School","LL.B.","1952"
6586021,1,"Alston, Rossie David, Jr.","Averett College (now Averett University)","B.A.","1979"
6586021,2,"Alston, Rossie David, Jr.","North Carolina Central University School of Law","J.D.","1982"
1390971,1,"Alsup, William Haskell","Mississippi State University","B.S.","1967"
1390971,2,"Alsup, William Haskell","Harvard Law School","J.D.","1971"
1390971,3,"Alsup, William Haskell","Harvard University, Kennedy School of Government","M.P.P.","1971"
1377146,1,"Altimari, Frank X.","St. Francis College","","1948"
1377146,2,"Altimari, Frank X.","Brooklyn Law School","LL.B.","1951"
6244926,1,"Altman, Roy Kalman","Columbia University","B.A.","2004"
6244926,2,"Altman, Roy Kalman","Yale Law School","J.D.","2007"
1391821,1,"Altonaga, Cecilia M.","Florida International University","B.A.","1983"
1391821,2,"Altonaga, Cecilia M.","Yale Law School","J.D.","1986"
1392236,1,"Alvarez, Micaela","University of Texas","B.S.","1980"
1392236,2,"Alvarez, Micaela","University of Texas School of Law","J.D.","1989"
1377151,1,"Alvey, Richard Henry","Read law","","1849"
1391086,1,"Ambro, Thomas L.","Georgetown University","B.A.","1971"
1391086,2,"Ambro, Thomas L.","Georgetown University Law Center","J.D.","1975"
1377156,1,"Ambrose, Donetta W.","Duquesne University","B.A.","1967"
1377156,2,"Ambrose, Donetta W.","Duquesne University School of Law","J.D.","1970"
1377161,1,"Amidon, Charles Fremont","Hamilton College","A.B.","1882"
1377161,2,"Amidon, Charles Fremont","Read law","","1886"
1377166,1,"Amon, Carol Bagley","College of William and Mary","B.S.","1968"
1377166,2,"Amon, Carol Bagley","University of Virginia School of Law","J.D.","1971"
1377171,1,"Andersen, Wayne R.","Harvard University","B.A.","1967"
1377171,2,"Andersen, Wayne R.","University of Illinois College of Law","J.D.","1970"
1377176,1,"Anderson, Albert Barnes","Wabash College","A.B.","1879"
1377176,2,"Anderson, Albert Barnes","Read law","","1881"
1377181,1,"Anderson, Aldon Junior","University of Utah","B.A.","1939"
1377181,2,"Anderson, Aldon Junior","University of Utah College of Law (now S.J. Quinney College of Law)","J.D.","1943"
1377186,1,"Anderson, George Ross, Jr.","Southeastern University","B.C.S.","1949"
1377186,2,"Anderson, George Ross, Jr.","George Washington University","","1949-1951"
1377186,3,"Anderson, George Ross, Jr.","University of South Carolina School of Law","LL.B.","1954"
1377191,1,"Anderson, George Weston","Williams College","A.B.","1886"
1377191,2,"Anderson, George Weston","Boston University School of Law","LL.B.","1890"
1377196,1,"Anderson, Harry Bennett","University of Chicago","Ph.B.",""
1377196,2,"Anderson, Harry Bennett","Christian Brothers College","A.M."," "
1377196,3,"Anderson, Harry Bennett","Columbia Law School","LL.B.","1904"
1377201,1,"Anderson, J. Blaine","University of Idaho College of Law","J.D.","1949"
1377206,1,"Anderson, Joseph Fletcher, Jr.","Clemson University","B.A.","1972"
1377206,2,"Anderson, Joseph Fletcher, Jr.","University of South Carolina School of Law","J.D.","1975"
1391476,1,"Anderson, Percy","University of California, Los Angeles","A.B.","1970"
1391476,2,"Anderson, Percy","University of California, Los Angeles, School of Law","J.D.","1975"
1377211,1,"Anderson, R[obert] Lanier III","Yale College","A.B.","1958"
1377211,2,"Anderson, R[obert] Lanier III","Harvard Law School","LL.B.","1961"
1377216,1,"Anderson, Robert Palmer","Yale College","B.A.","1927"
1377216,2,"Anderson, Robert Palmer","Yale Law School","LL.B.","1929"
1392701,1,"Anderson, Stanley Thomas","University of Tennessee","B.S.","1976"
1392701,2,"Anderson, Stanley Thomas","Memphis State University (now University of Memphis) Cecil C. Humphreys School of Law","J.D.","1980"
1377221,1,"Anderson, Stephen Hale","University of Utah College of Law (now S.J. Quinney College of Law)","LL.B.","1960"
1377226,1,"Anderson, Thomas H.","Mount Union College",""," "
1390306,1,"Andrews, Maurice Neil","University of Georgia School of Law","LL.B.","1916"
1393846,1,"Andrews, Richard Gibson","Haverford College","B.A.","1977"
1393846,2,"Andrews, Richard Gibson","University of California, Berkeley, School of Law","J.D.","1981"
1392776,1,"Anello, Michael M.","Bowdoin College","B.A.","1965"
1392776,2,"Anello, Michael M.","Georgetown University Law Center","J.D.","1968"
1377231,1,"Angell, Alexis Caswell","University of Michigan","A.B.","1878"
1377231,2,"Angell, Alexis Caswell","Read law","","1879"
1377231,3,"Angell, Alexis Caswell","University of Michigan Law School","LL.B.","1880"
12802356,1,"Antongiorgi-Jordán, María del R.","Seton Hill University","B.A.","1989"
12802356,2,"Antongiorgi-Jordán, María del R.","Interamerican University of Puerto Rico School of Law","J.D.","1992"
12802356,3,"Antongiorgi-Jordán, María del R.","Georgetown University Law Center","LL.M.","1994"
1391121,1,"Antoon, John II","Florida Southern College","B.A.","1968"
1391121,2,"Antoon, John II","Florida State University College of Law","J.D.","1971"
1391121,3,"Antoon, John II","Florida Institute of Technology","M.S.","1993"
1391121,4,"Antoon, John II","University of Virginia School of Law","LL.M.","2001"
1392821,1,"Aquilino, Thomas Joseph, Jr.","Drew University","B.A.","1962"
1392821,2,"Aquilino, Thomas Joseph, Jr.","Rutgers School of Law -- Newark","J.D.","1969"
1377236,1,"Arant, Herschel Whitfield","University of Alabama","B.S.","1910"
1377236,2,"Arant, Herschel Whitfield","Yale University","B.A.","1911"
1377236,3,"Arant, Herschel Whitfield","Yale University","M.A.","1912"
1377236,4,"Arant, Herschel Whitfield","Yale Law School","LL.B.","1915"
1377241,1,"Arcara, Richard Joseph","St. Bonaventure University","B.A.","1962"
1377241,2,"Arcara, Richard Joseph","Villanova University School of Law","J.D.","1965"
1377246,1,"Arceneaux, George, Jr.","Louisiana State University","B.A.","1949"
1377246,2,"Arceneaux, George, Jr.","American University, Washington College of Law","J.D.","1957"
1377251,1,"Archbald, Robert Wodrow","Yale College","A.B.","1871"
1377251,2,"Archbald, Robert Wodrow","Read law","","1873"
1377256,1,"Archer, Glenn Leroy, Jr.","Yale University","B.A.","1951"
1377256,2,"Archer, Glenn Leroy, Jr.","George Washington University Law School","J.D.","1954"
1392786,1,"Arguello, Christine M.","University of Colorado","B.S.","1977"
1392786,2,"Arguello, Christine M.","Harvard Law School","J.D.","1980"
6385001,1,"Arias-Marxuach, Raúl Manuel","Boston College","B.A.","1989"
6385001,2,"Arias-Marxuach, Raúl Manuel","University of Puerto Rico School of Law","J.D.","1992"
6385001,3,"Arias-Marxuach, Raúl Manuel","Harvard Law School","LL.M.","1994"
1394671,1,"Arleo, Madeline Cox","Rutgers College","B.A.","1985"
1394671,2,"Arleo, Madeline Cox","Rutgers University","M.A.","1986"
1394671,3,"Arleo, Madeline Cox","Seton Hall University School of Law","J.D.","1989"
1391326,1,"Armijo, M. Christina","University of New Mexico","B.A.","1972"
1391326,2,"Armijo, M. Christina","University of New Mexico School of Law","J.D.","1975"
1377261,1,"Armstrong, Saundra Brown","Merritt College","A.A.","1967"
1377261,2,"Armstrong, Saundra Brown","California State University, Fresno","B.A.","1969"
1377261,3,"Armstrong, Saundra Brown","University of San Francisco School of Law","J.D.","1977"
1377261,4,"Armstrong, Saundra Brown","Pacific School of Religion","M.Div.","2012"
1377266,1,"Arnold, Morris Sheppard","University of Arkansas","B.S.E.E.","1965"
1377266,2,"Arnold, Morris Sheppard","University of Arkansas School of Law","LL.B.","1968"
1377266,3,"Arnold, Morris Sheppard","Harvard Law School","LL.M.","1969"
1377266,4,"Arnold, Morris Sheppard","Harvard Law School","S.J.D.","1971"
1377271,1,"Arnold, Richard Sheppard","Yale University","B.A.","1957"
1377271,2,"Arnold, Richard Sheppard","Harvard Law School","LL.B.","1960"
1377276,1,"Arnold, Thurman Wesley","Princeton University","B.A.","1911"
1377276,2,"Arnold, Thurman Wesley","Harvard Law School","LL.B.","1914"
1377281,1,"Arnow, Winston Eugene","University of Florida","B.B.A.","1932"
1377281,2,"Arnow, Winston Eugene","University of Florida College of Law (now Fredric G. Levin College of Law)","J.D.","1933"
1377286,1,"Aronovitz, Sidney Myer","University of Florida","B.A.","1942"
1377286,2,"Aronovitz, Sidney Myer","University of Florida College of Law (now Fredric G. Levin College of Law)","J.D.","1943"
1377291,1,"Arraj, Alfred Albert","University of Colorado Law School","LL.B.","1928"
1377296,1,"Arterton, Janet Bond","Mount Holyoke College","B.A.","1966"
1377296,2,"Arterton, Janet Bond","Northeastern University School of Law","J.D.","1977"
5153446,1,"Ashe, Barry Weldon","Tulane University","B.A.","1978"
5153446,2,"Ashe, Barry Weldon","Tulane University Law School","J.D.","1984"
1377301,1,"Aspen, Marvin E.","Northwestern University","B.S.","1956"
1377301,2,"Aspen, Marvin E.","Northwestern University School of Law (now Pritzker School of Law)","J.D.","1958"
9359861,1,"Atchley, Charles Edward, Jr.","University of Tennessee","B.A.","1989"
9359861,2,"Atchley, Charles Edward, Jr.","Samford University, Cumberland School of Law","J.D.","1993"
1377306,1,"Atkins, Carl Clyde","University of Florida College of Law (now Fredric G. Levin College of Law)","LL.B.","1936"
1393056,1,"Atkinson, George Wesley","Ohio Wesleyan University","A.B.","1870"
1393056,2,"Atkinson, George Wesley","Ohio Wesleyan University","A.M.","1873"
1393056,3,"Atkinson, George Wesley","Howard University Law Department","LL.B.","1874"
1377311,1,"Atlas, Nancy Friedman","Tufts University","B.S.","1971"
1377311,2,"Atlas, Nancy Friedman","New York University School of Law","J.D.","1974"
1377316,1,"Atwell, William Hawley","Southwestern University","A.B., B.S.","1889"
1377316,2,"Atwell, William Hawley","University of Texas School of Law","LL.B.","1891"
1377321,1,"Augelli, Anthony Thomas","New Jersey Law School (now Rutgers School of Law -- Newark)","LL.B.","1929"
1377321,2,"Augelli, Anthony Thomas","Mercer Beasley School of Law (now Rutgers School of Law -- Newark)","LL.M.","1934"
13761451,1,"Austin, Jacquelyn Denise","University of South Carolina","B.S.E.E.","1989"
13761451,2,"Austin, Jacquelyn Denise","University of South Carolina School of Law","J.D.","1996"
1377326,1,"Austin, Richard Bevan","Denison University","Ph.B.","1923"
1377326,2,"Austin, Richard Bevan","University of Chicago Law School","J.D.","1926"
1391581,1,"Autrey, Henry Edward","St. Louis University","B.S.","1974"
1391581,2,"Autrey, Henry Edward","St. Louis University School of Law","J.D.","1977"
1377331,1,"Avis, John Boyd","Read law","","1897"
4738061,1,"Axon, Annemarie Carney","University of Alabama","B.A.","1995"
4738061,2,"Axon, Annemarie Carney","University of Alabama School of Law","J.D.","1999"
1392641,1,"Aycock, Sharion","Mississippi State University","B.A.","1977"
1392641,2,"Aycock, Sharion","Mississippi College School of Law","J.D.","1980"
1394716,1,"Azrack, Joan Marie","Rutgers University","B.S.","1974"
1394716,2,"Azrack, Joan Marie","New York Law School","J.D.","1979"
1377336,1,"Babcock, Lewis Thornton","University of Denver","B.A.","1965"
1377336,2,"Babcock, Lewis Thornton","University of Denver College of Law (now Sturm College of Law)","J.D.","1968"
1377336,3,"Babcock, Lewis Thornton","University of Virginia School of Law","LL.M.","1988"
1394126,1,"Bacharach, Robert Edwin","University of Oklahoma","B.A.","1981"
1394126,2,"Bacharach, Robert Edwin","Washington University School of Law","J.D.","1985"
8368391,1,"Badalamenti, John Leonard","University of Florida","B.A.","1995"
8368391,2,"Badalamenti, John Leonard","University of Florida","M.A.","1999"
8368391,3,"Badalamenti, John Leonard","University of Florida Fredric G. Levin College of Law","J.D.","1999"
6202901,1,"Bade, Bridget Shelton","Arizona State University","B.A.","1987"
6202901,2,"Bade, Bridget Shelton","Arizona State University College of Law (now Sandra Day O’Connor College of Law)","J.D.","1990"
1377341,1,"Baer, Harold, Jr.","Hobart College","B.A.","1954"
1377341,2,"Baer, Harold, Jr.","Yale Law School","LL.B.","1957"
13761496,1,"Baggio, Amy Margaret","Wake Forest University","B.A.","1995"
13761496,2,"Baggio, Amy Margaret","Northwestern School of Law of Lewis and Clark College","J.D.","2001"
1392541,1,"Bailey, John Preston","Dartmouth College","A.B.","1973"
1392541,2,"Bailey, John Preston","West Virginia University College of Law","J.D.","1976"
1377346,1,"Bailey, Thomas Jennings","Southwestern Presbyterian University (now Rhodes College)","A.B.","1884"
1377346,2,"Bailey, Thomas Jennings","Southwestern Presbyterian University (now Rhodes College)","A.M.","1885"
1377346,3,"Bailey, Thomas Jennings","Vanderbilt University Law School","LL.B.","1890"
1377351,1,"Baird, Lourdes Gillespie","Los Angeles City College","A.A.","1971"
1377351,2,"Baird, Lourdes Gillespie","University of California, Los Angeles","B.A.","1973"
1377351,3,"Baird, Lourdes Gillespie","University of California, Los Angeles, School of Law","J.D.","1976"
1377356,1,"Baker, Francis Elisha","University of Michigan","B.A.","1882"
1377356,2,"Baker, Francis Elisha","Read law","","1884"
1377361,1,"Baker, Harold Albert","Columbia University",""," "
1377361,2,"Baker, Harold Albert","University of Illinois","A.B.","1951"
1377361,3,"Baker, Harold Albert","University of Illinois College of Law","J.D.","1956"
1377366,1,"Baker, John Harris","Wesleyan University","A.M.","1879"
1393971,1,"Baker, Kristine Gerhard","St. Louis University","B.A.","1993"
1393971,2,"Baker, Kristine Gerhard","University of Arkansas School of Law","J.D.","1996"
6841726,1,"Baker, M. Miller","Louisiana State University","",""
6841726,2,"Baker, M. Miller","Tulane University Law School","J.D.","1984"
5152936,1,"Baker, R. Stan","Davidson College","B.A.","1999"
5152936,2,"Baker, R. Stan","University of Georgia School of Law","J.D.","2004"
1377371,1,"Baker, William Eli","West Virginia Conference Seminary (now West Virginia Wesleyan College)","B.S.","1893"
1377371,2,"Baker, William Eli","West Virginia University","A.B., LL.B.","1896"
1377376,1,"Baldock, Bobby Ray","New Mexico Military Institute","","1956"
1377376,2,"Baldock, Bobby Ray","University of Arizona College of Law (now James E. Rogers College of Law)","J.D.","1960"
1377381,1,"Baldwin, Alexander White","Read law",""," "
1377386,1,"Baldwin, Henry","Yale College","B.A.","1797"
1377386,2,"Baldwin, Henry","Read law","","1798"
1377391,1,"Baldwin, James Harris","Read law","","1900"
1377391,2,"Baldwin, James Harris","University of Virginia","B.L.","1900"
1377396,1,"Baldwin, Phillip Benjamin","South Texas College of Law",""," "
1377396,2,"Baldwin, Phillip Benjamin","Baylor University School of Law",""," "
1377396,3,"Baldwin, Phillip Benjamin","North Texas State College (now University of North Texas)","B.A.","1949"
1377401,1,"Ballantine, Thomas Austin, Jr.","University of Kentucky","B.A.","1948"
1377401,2,"Ballantine, Thomas Austin, Jr.","University of Louisville School of Law (now Louis D. Brandeis School of Law)","LL.B.","1954"
1377406,1,"Ballard, Bland","Read law","","1840"
1377406,2,"Ballard, Bland","Transylvania University Law Department","","1840"
13363931,1,"Ballou, Robert Stewart","University of Virginia","B.A.","1984"
13363931,2,"Ballou, Robert Stewart","University of Virginia School of Law","J.D.","1987"
1377411,1,"Baltzell, Robert C.","Northern Illinois State Normal School (now Northern Illinois University)",""," "
1377411,2,"Baltzell, Robert C.","Marion Law School, Indiana","LL.B.","1904"
1377416,1,"Barbadoro, Paul J.","Gettysburg College","B.A.","1977"
1377416,2,"Barbadoro, Paul J.","Boston College Law School","J.D.","1980"
1393481,1,"Barber, Orion Metcalf","Albany Law School","LL.B.","1882"
6595046,1,"Barber, Thomas Patrick","University of Florida","B.A.","1989"
6595046,2,"Barber, Thomas Patrick","University of Pennsylvania Law School (now Carey Law School)","J.D.","1992"
1390876,1,"Barbier, Carl J.","Southeastern Louisiana College","B.A.","1966"
1390876,2,"Barbier, Carl J.","Loyola University New Orleans School of Law","J.D.","1970"
1377421,1,"Barbour, Philip Pendleton","Read law","","1800"
1377426,1,"Barbour, William Henry, Jr.","New York University School of Law",""," "
1377426,2,"Barbour, William Henry, Jr.","Princeton University","B.A.","1963"
1377426,3,"Barbour, William Henry, Jr.","University of Mississippi School of Law","J.D.","1966"
1377431,1,"Bard, Guy Kurtz","Franklin and Marshall College","A.B.","1916"
1377431,2,"Bard, Guy Kurtz","University of Pennsylvania Law School (now Carey Law School)","LL.B.","1922"
6379986,1,"Barker, J. Campbell","Texas A&M University","B.S.","2002"
6379986,2,"Barker, J. Campbell","University of Texas School of Law","J.D.","2005"
6379986,3,"Barker, J. Campbell","Duke University School of Law","LL.M.","2023"
6594531,1,"Barker, Pamela Ann","Kenyon College","B.A.","1979"
6594531,2,"Barker, Pamela Ann","Ohio State University College of Law (now Michael E. Moritz College of Law)","J.D.","1982"
1377436,1,"Barker, Sarah Evans","Indiana University","B.S.","1965"
1377436,2,"Barker, Sarah Evans","American University, Washington College of Law","J.D.","1969"
1377441,1,"Barker, William Julius","University of Florida College of Law (now Fredric G. Levin College of Law)","LL.B.","1916"
1377446,1,"Barkett, Rosemary","St. Joseph's College, Jensen Beach, Florida","A.A.","1959"
1377446,2,"Barkett, Rosemary","Spring Hill College","B.S.","1967"
1377446,3,"Barkett, Rosemary","University of Florida College of Law (now Fredric G. Levin College of Law)","J.D.","1970"
1377451,1,"Barksdale, Alfred Dickinson","Virginia Military Institute","B.S.","1911"
1377451,2,"Barksdale, Alfred Dickinson","University of Virginia School of Law","LL.B.","1915"
1377456,1,"Barksdale, Rhesa Hawkins","U.S. Military Academy","B.S.","1966"
1377456,2,"Barksdale, Rhesa Hawkins","University of Mississippi School of Law","J.D.","1972"
7465661,1,"Barlow, David Bruce","Brigham Young University","B.A.","1995"
7465661,2,"Barlow, David Bruce","Yale Law School","J.D.","1998"
1377461,1,"Barlow, George Herbert","Dartmouth College","B.A.","1943"
1377461,2,"Barlow, George Herbert","Rutgers School of Law -- Newark","LL.B.","1948"
1377466,1,"Barnard, Job","University of Michigan Law School","LL.B.","1867"
1377471,1,"Barnes, David Leonard","Harvard College","","1780"
1377471,2,"Barnes, David Leonard","Read law","","1783"
1377476,1,"Barnes, Harry F.","U.S. Naval Academy","B.S.","1956"
1377476,2,"Barnes, Harry F.","University of Arkansas School of Law","LL.B.","1964"
1377481,1,"Barnes, John Peter","Geneva College","B.S.","1904"
1377481,2,"Barnes, John Peter","University of Michigan Law School","LL.B.","1907"
1377486,1,"Barnes, Stanley Nelson","Harvard Law School",""," "
1377486,2,"Barnes, Stanley Nelson","University of California, Berkeley","A.B.","1922"
1377486,3,"Barnes, Stanley Nelson","University of California, Berkeley, School of Jurisprudence","J.D.","1925"
1394221,1,"Barnett, Mark Allen","Dickinson College","B.A.","1985"
1394221,2,"Barnett, Mark Allen","University of Michigan Law School","J.D.","1988"
1393011,1,"Barney, Samuel Stebbins","Lombard College, Galesburg, Illinois",""," "
1393011,2,"Barney, Samuel Stebbins","Read law with Leander F. Frisby, West Bend, Wisconsin","","1873"
1377491,1,"Barr, John Watson","Transylvania University Law Department","","1847"
3979311,1,"Barrett, Amy Coney","Rhodes College","B.A.","1994"
3979311,2,"Barrett, Amy Coney","Notre Dame Law School","J.D.","1997"
1377496,1,"Barrett, James Emmett","University of Wyoming College of Law","LL.B.","1949"
1392386,1,"Barrett, Michael Ryan","University of Cincinnati","B.A.","1974"
1392386,2,"Barrett, Michael Ryan","University of Cincinnati College of Law","J.D.","1977"
1377501,1,"Barrett, William Hale","University of Georgia","B.Ph.","1885"
1377501,2,"Barrett, William Hale","Read law","","1887"
1394531,1,"Barron, David Jeremiah","Harvard College","B.A.","1989"
1394531,2,"Barron, David Jeremiah","Harvard Law School","J.D.","1994"
1377506,1,"Barrow, Allen Edward","University of Oklahoma","B.A.","1937"
1377506,2,"Barrow, Allen Edward","Southeastern State College (now Southeastern Oklahoma State University)","LL.B.","1942"
1377511,1,"Barry, Maryanne Trump","Mount Holyoke College","B.A.","1958"
1377511,2,"Barry, Maryanne Trump","Columbia University","M.A.","1962"
1377511,3,"Barry, Maryanne Trump","Hofstra University School of Law","J.D.","1974"
1377516,1,"Bartels, John Ries","Johns Hopkins University","A.B.","1920"
1377516,2,"Bartels, John Ries","Harvard Law School","LL.B.","1923"
1377521,1,"Bartle, Harvey III","Princeton University","B.A.","1962"
