"nid","Sequence","Judge.Name","School","Degree","Degree.Year"
1379446,2,"Conti, Samuel","Stanford Law School","LL.B.","1948"
1379451,1,"Contie, Leroy John, Jr.","University of Michigan","B.A.","1941"
1379451,2,"Contie, Leroy John, Jr.","University of Michigan Law School","J.D.","1948"
1393936,1,"Contreras, Rudolph","Florida State University","B.S.","1984"
1393936,2,"Contreras, Rudolph","University of Pennsylvania Law School (now Carey Law School)","J.D.","1991"
1379456,1,"Conway, Anne C.","John Carroll University","B.A.","1972"
1379456,2,"Conway, Anne C.","University of Florida College of Law (now Fredric G. Levin College of Law)","J.D.","1975"
13761869,1,"Conway, Byron Browning","Santa Clara University","B.A.","1998"
13761869,2,"Conway, Byron Browning","University of Queensland","International Law Certificate","2000"
13761869,3,"Conway, Byron Browning","Marquette University Law School","J.D.","2002"
1379461,1,"Conway, John Edwards","U.S. Naval Academy","B.S.","1956"
1379461,2,"Conway, John Edwards","Washburn University School of Law","LL.B.","1963"
1391876,1,"Coogler, L. Scott","University of Alabama","B.A.","1981"
1391876,2,"Coogler, L. Scott","University of Alabama School of Law","J.D.","1984"
1391826,1,"Cook, Deborah L.","University of Akron","B.A.","1974"
1391826,2,"Cook, Deborah L.","University of Akron School of Law","J.D.","1978"
1379466,1,"Cook, Harold Dale","University of Oklahoma","B.S.","1949"
1379466,2,"Cook, Harold Dale","University of Oklahoma College of Law","LL.B.","1950"
1379471,1,"Cook, Julian Abele, Jr.","Pennsylvania State University","B.A.","1952"
1379471,2,"Cook, Julian Abele, Jr.","Georgetown College (now Georgetown University) Law Center","J.D.","1957"
1392101,1,"Cooke, Marcia G.","Georgetown University","B.S.F.S.","1975"
1392101,2,"Cooke, Marcia G.","Wayne State University Law School","J.D.","1977"
1379476,1,"Coolahan, James Aloysius","New Jersey Law School (now Rutgers School of Law -- Newark)","LL.B.","1925"
13761904,1,"Coombe, Elizabeth Cheryl","Hamilton College","A.B.","1989"
13761904,2,"Coombe, Elizabeth Cheryl","University of Michigan Law School","J.D.","1992"
1394411,1,"Cooper, Christopher Reid","Yale University","B.A.","1988"
1394411,2,"Cooper, Christopher Reid","Stanford Law School","J.D.","1993"
1379481,1,"Cooper, Clarence","Howard University School of Law",""," "
1379481,2,"Cooper, Clarence","Clark College (now Clark Atlanta University)","B.A.","1964"
1379481,3,"Cooper, Clarence","Emory University School of Law","J.D.","1967"
1379481,4,"Cooper, Clarence","Harvard University, Kennedy School of Government","M.P.A.","1978"
1391061,1,"Cooper, Florence-Marie","City College of San Francisco","","1971"
